"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,3.63758615972639,3.41981393687274,121.10133,-28.20295,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.3322045101752,3.25960812514404,120.25872,-28.20155,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.6094379124341,3.60681520936146,120.72367,-28.1845,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.78418963391826,3.56142760899093,120.56498,-28.18076,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.42386594841764,120.38606,-28.17831,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.17805383034795,3.61251956303568,120.71763,-28.17481,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.11087386417331,3.52840106435929,121.00083,-28.17385,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.17805383034795,3.20097541301311,120.20667,-28.16088,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.25834733691795,120.2418,-28.1472,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.79175946922805,3.63615626545425,120.72917,-28.13653,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.68887945411394,3.57113856880096,120.98367,-28.12928,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.83321334405622,3.36389114003669,121.20709,-28.12493,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.29045944114839,3.59679709083753,120.56709,-28.11187,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.484906649788,3.20231166957637,120.19767,-28.11062,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.77068462446567,3.60181712266399,120.57419,-28.10904,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.75359019110636,3.60287710313787,120.57569,-28.1084,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.98898404656427,3.60414365831934,120.57751,-28.10765,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.11087386417331,3.52366600139362,121.0701,-28.10299,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.25809653802148,3.49720337096983,120.42884,-28.10242,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.52636052461616,3.64883763478088,120.68897,-28.09908,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.58351893845611,3.64655661011761,120.66801,-28.09254,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.79579054559674,3.56093892114791,120.49634,-28.08349,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.26267987704132,3.54758880640406,120.47812,-28.0803,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.98898404656427,3.54625076634466,120.47647,-28.08027,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.35670882668959,3.54491326593825,120.47483,-28.08024,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.83321334405622,3.49428822074287,121.11742,-28.07991,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.99573227355399,3.42207323613843,120.35138,-28.07935,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.66356164612965,3.4596096979285,121.15795,-28.06763,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.46573590279973,3.66594013256531,120.70928,-28.06725,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.30258509299405,3.4088326510805,120.33782,-28.06658,"Nug;Sph","0.7269;0","0;0.1698","0;0"
