"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,4.70138904372863,3.23675900557706,120.88673,-28.20232,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.37410243570982,120.29393,-28.18798,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,3.26407078696318,120.71763,-28.17481,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.99573227355399,2.92694391927642,121.0969,-28.16755,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,2.14803416831845,120.20667,-28.16088,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.89037175789616,3.01107373984687,121.07542,-28.15903,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.46573590279973,2.91728039754418,120.45028,-28.15127,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,2.96520930921081,121.09475,-28.14376,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,0.693147180559945,3.32046493831859,120.72917,-28.13653,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.68887945411394,3.21784285893703,120.98367,-28.12928,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,3.39187834041451,120.70793,-28.11802,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.25809653802148,2.93855464911432,120.45228,-28.11621,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.83321334405622,2.98494232211952,121.0984,-28.1142,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,3.40747860560791,120.56841,-28.11098,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.25632167829882,3.16327899173447,120.49601,-28.1092,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.61091791264422,3.42827149692657,120.57474,-28.10871,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.70805020110221,3.43512759521471,120.57696,-28.10771,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,3.10554855416629,120.4827,-28.10649,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.58351893845611,3.45136711854284,120.68897,-28.09908,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.26777452607348,120.31058,-28.09364,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.8283137373023,3.46185634700833,120.57495,-28.08709,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,5.20948615284142,3.19319588761406,120.49461,-28.08298,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.29045944114839,3.18991877085959,120.49392,-28.08289,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,3.01175065877348,120.46387,-28.08217,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.97029191355212,3.11656344431075,120.48041,-28.08089,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.06910830619917,120.24313,-28.07827,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.8633745917036,121.15795,-28.06763,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.09861228866811,3.19603223340298,120.88164,-28.06638,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.98898404656427,3.54000918448506,120.64849,-28.06449,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.56494935746154,3.0914681321473,121.07704,-28.0617,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,3.21977691614734,120.98548,-28.05237,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.70048036579242,3.54673188210348,120.60454,-28.05237,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.77258872223978,2.4594247050392,120.38254,-28.04697,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.27666611901606,3.57529904928288,120.62949,-28.03565,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,5.95064255258773,3.45846581423466,120.55145,-28.03479,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.74493212836325,3.25259485907329,120.50695,-28.03442,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,5.63478960316925,3.14193597758815,120.49059,-28.0301,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.91783417919175,120.46115,-28.02769,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.82667118086356,121.20821,-28.02435,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.97673374242057,3.4840373435305,120.55408,-28.01514,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.34032122998089,120.37476,-28.01412,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,1.97567258364589,120.20642,-28.01245,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.78418963391826,2.80560024470904,120.45187,-28.00391,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,3.0059472274214,120.47732,-27.99778,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,0.693147180559945,2.85317209905432,120.45887,-27.99568,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.52572864430826,2.85708171882742,120.45934,-27.99565,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,0.693147180559945,2.32438387010457,120.37966,-27.99485,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.33745289150518,120.38276,-27.99335,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.15966402834274,2.85303017025642,120.45902,-27.99124,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.3322045101752,3.25540123062492,121.04314,-27.99074,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.68784749378469,2.85551405673186,120.45933,-27.99006,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.5945687746427,2.85087755642345,120.45879,-27.99006,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.28952066443753,2.85550743635193,120.45933,-27.99004,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.84054963339749,2.88129573817983,120.4627,-27.98999,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
