"model","fold","o","p","variance","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"ok",1,2.484906649788,2.51199549676721,0.843242349324501,120.5213099,-28.51561621,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.40119738166216,2.54827988396802,0.843143001092159,120.4861,-28.51063622,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.484906649788,2.50094202330348,0.839488533373209,120.51093,-28.4834662,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,1.38629436111989,2.4615041840431,0.837423965304624,120.5350799,-28.46949619,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,1.62334081760309,2.45624976526078,0.837305600986541,120.5397799,-28.46802619,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.70805020110221,2.45627918301601,0.837831892809387,120.5529899,-28.46445618,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.01490302054226,2.46152459624487,0.836916675913953,120.53735,-28.45540618,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.83321334405622,2.98672069406876,0.846315322736181,120.1262801,-28.42503631,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.40119738166216,2.8254586897477,0.840314744278699,120.2926098,-28.42103616,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.68887945411394,2.66506544456902,0.838165370547496,120.38929,-28.4118062,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.39789527279837,2.41187246497614,0.842375987354714,120.7724398,-28.39545615,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.484906649788,2.45741856497715,0.839589744604713,120.6818299,-28.39466614,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.56494935746154,2.72918275152494,0.837614864122854,120.33861,-28.37845617,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.46573590279973,2.48099067343293,0.8356570423923,120.5491799,-28.36575613,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.94443897916644,2.47448262159468,0.837477932796604,120.6413799,-28.36231613,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.99573227355399,2.51793401128709,0.834778973409125,120.47469,-28.34894615,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,1.48160454092422,2.14675347217787,0.844447428479235,121.08417,-28.32619642,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.07944154167984,2.58673441170623,0.835150425708205,120.40505,-28.31949616,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,2.83321334405622,2.45640167189996,0.837346181931089,120.7122899,-28.31584612,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.17805383034795,2.90647304249243,0.839331588284779,120.2131801,-28.3140863,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
"ok",1,3.2188758248682,2.98192947021894,0.844665186250382,120.12238,-28.3089463,"Nug;Sph","0.8195;0.0805","0;1.1896","0;0"
