"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,2.56494935746154,2.39311946538675,120.7232199,-28.21550619,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.60802320644429,120.37653,-28.2090362,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.99573227355399,2.42157414044683,120.6579599,-28.20498617,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.32312853374645,120.7955298,-28.19819629,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.94443897916644,2.51055288511867,120.4269,-28.19804617,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.94443897916644,2.17103950826474,120.9581997,-28.1874967,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.09104245335832,2.41541071179476,120.6534899,-28.1840862,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.36003311178278,120.7604998,-28.18137629,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.10413415427021,2.21508283499187,120.8952398,-28.18119649,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.09104245335832,2.4177714895399,120.46479,-28.1560662,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.14006616349627,2.68867919791171,120.33546,-28.15270625,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.75906908462563,120.30196,-28.13934629,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.70805020110221,2.47588738934608,120.4235403,-28.13832618,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.22377543162212,2.34022917095199,120.7893398,-28.13464641,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,0.955511445027436,2.3165874779124,120.8240497,-28.12582647,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.01993696225081,2.37543275543265,120.4623903,-28.12550622,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,0.693147180559945,2.27803796903926,120.568409,-28.1109764,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,0.693147180559945,2.27877617380892,120.574189,-28.10903641,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.79175946922805,2.27916584361285,120.575689,-28.10839642,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.30258509299405,2.10043068520179,121.1406101,-28.10626628,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.24185847662749,120.9544197,-28.1040867,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.484906649788,2.37311050291142,120.7367398,-28.10402644,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.3322045101752,2.38067113396043,120.6889698,-28.09907638,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.99573227355399,2.52332150135233,120.39079,-28.09555626,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.30258509299405,2.26482801452544,120.574949,-28.08708645,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.02814824729229,2.3490244688768,120.7909597,-28.08390656,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.6094379124341,2.23363813507762,120.49634,-28.08348632,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,2.24856651800351,120.4804101,-28.08088628,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,0.693147180559945,2.25471272492983,120.4764701,-28.08026628,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.25730623098435,120.4753001,-28.08024628,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.23001440015921,2.14016626719623,121.1174201,-28.07990636,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.70805020110221,2.86302041359896,120.24313,-28.07826635,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.65587642256567,120.3378199,-28.06657631,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.90210752639692,2.30354247763643,120.8816396,-28.06637668,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.09104245335832,2.3412754819725,120.6484894,-28.06448645,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.90210752639692,2.21930973394389,121.0308799,-28.0601966,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.77258872223978,2.28138329248891,120.9238598,-28.05713663,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.89037175789616,2.28113053867247,120.4611004,-28.05451626,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,2.3478131522647,120.8058496,-28.05330661,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.25809653802148,2.28593588742906,120.6045394,-28.05236643,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.70474809223843,2.21955983700961,120.49549,-28.04883631,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.01490302054226,2.20931370390667,120.5305298,-28.04431637,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.17805383034795,2.3101497021816,120.6294894,-28.03564643,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.63905732961526,2.24622869846315,121.01234,-28.03078656,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.31054301339402,2.24165245190964,120.4737299,-28.02750632,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.89037175789616,2.40247788130842,120.4164199,-28.02698631,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.18605127673809,2.32208892242616,120.8639697,-28.02498664,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.42745407503992,2.20426183806203,120.5026399,-28.01256633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.25809653802148,2.91719326850231,120.20642,-28.01244641,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.36743606531366,2.54163990614802,120.3734899,-28.00242633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.484906649788,2.34419955879768,120.8304097,-27.99880664,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.07944154167984,2.21847907375411,120.4773198,-27.99777634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.7635229971097,2.7468759248649,120.2945699,-27.99707641,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.47653840011748,2.23460405233953,120.4601398,-27.99628633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.11514159061932,2.23515101987804,120.4597698,-27.99585633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.8458832029236,2.54003514919865,120.3731599,-27.99482633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.43559880837949,2.22433532795334,120.4676298,-27.99341634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.40119738166216,2.22431519183958,120.4676398,-27.99240635,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.484906649788,2.35491727300791,120.6859498,-27.99015638,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.21920348405499,2.23656314850784,120.4592998,-27.99000634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.53369681395743,2.23029610545337,120.4626998,-27.98998635,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.17387845893747,2.23692573358542,120.4593598,-27.98894634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.36384159511839,2.48924960604959,120.3883498,-27.98845634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.43398720448515,2.85590056361047,120.2387999,-27.98675647,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.04452243772342,2.27785234798048,120.4513998,-27.97625636,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.99573227355399,2.28259231696553,120.9904102,-27.97315647,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.19721106688455,120.5577498,-27.97125634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,2.17405449778056,120.5401198,-27.97081634,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,2.17234792760579,120.5284298,-27.97058635,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.70474809223843,2.1725049343772,120.5281298,-27.97056635,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,2.30259447427931,120.6268598,-27.96612633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.3034283421537,120.6273698,-27.96538633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.30995940782625,120.6319398,-27.96409633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,2.83574170422839,120.24604,-27.96193646,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.89037175789616,2.29180001692916,121.0465602,-27.95603641,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.32805832807391,120.6403098,-27.94916637,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.35306781990958,120.8443099,-27.94134657,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,2.24382540028016,120.56333,-27.93782621,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.99573227355399,2.9780373890151,120.1567199,-27.93570642,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.43398720448515,2.88293742022504,120.2144399,-27.92511638,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.04452243772342,2.8020405478101,120.2518197,-27.9075062,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.30258509299405,2.39702260491279,120.7330204,-27.90643671,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.65441127807683,2.33516306014786,121.1538801,-27.90093627,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.13549421592915,2.35269693989235,121.1860301,-27.89473624,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.3322045101752,2.36404201571465,121.1256801,-27.88684628,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.09104245335832,2.37868628464717,121.0787401,-27.88263632,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.70805020110221,2.40152774609416,121.1686301,-27.86839623,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.19722457733622,2.42074128284009,120.7486706,-27.86691678,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.09104245335832,2.42409035164985,120.7187707,-27.86374673,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,2.39322498963258,120.9998702,-27.85896633,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.80666248977032,2.41607306238011,121.1379401,-27.85885625,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.3322045101752,2.41291372525365,121.0594001,-27.8572463,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.41290989078619,120.8443805,-27.85582652,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.19722457733622,2.40851192668238,121.0367101,-27.85493631,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.43398720448515,2.86606869998824,120.2090995,-27.85170605,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.66356164612965,2.92343349879251,120.1744695,-27.85095605,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.61091791264422,2.43431193465968,121.1259401,-27.84939625,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.42333097388299,120.40922,-27.8431864,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.49650756146648,2.44595036434734,121.1157001,-27.84318625,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.13549421592915,2.4827050616619,121.1496401,-27.8289462,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.51912232996448,120.3601599,-27.82688642,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.6094379124341,2.36932298157341,120.5726301,-27.8242363,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,2.3687788357763,120.5717301,-27.82420629,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.79175946922805,2.3697147246907,120.5730701,-27.8241363,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,0.693147180559945,2.36850618412901,120.5695401,-27.82387629,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.43499920870713,120.9185402,-27.82288632,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.94591014905531,2.4485972407803,120.9731002,-27.81740627,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
