"feature","correlation","mutual_info","vif"
"f.idw",0.591042729206604,0.295202714761531,1.53452409740658
"f.sda.0",0.304259377210908,0.189131667228658,1.10478755877531
"f.sda.0.1",0.408379622062808,0.201132712477227,1.20003875727246
"f.sda.0.2",0.445726283701839,0.221677463205974,1.24658514729745
"f.sda.0.3",0.472019160576981,0.235594187486006,1.28477037948131
"f.sda.0.4",0.493698673336619,0.266768221459775,1.31930074234722
"f.sda.0.5",0.498381262404962,0.263817137364188,1.32773489800603
"f.sda.0.6",0.491894078388718,0.25050130322005,1.31335817701179
"f.sda.0.7",0.478873602244798,0.235079750187854,1.28988517864882
"f.sda.0.8",0.461506669893072,0.241399355804841,1.26267445348961
"f.sda.0.9",0.430747701332342,0.218972150801612,1.22566653473595
"f.sda.1",0.309931558032129,0.12910690299345,1.10812560830483
"f.gos",0.536011048049906,0.269291596090232,1.40313035728575
