"feature","correlation","mutual_info","vif"
"f.idw",0.590146664568534,0.314167367079349,1.53990264693829
"f.sda.0",0.296965256984438,0.124709151343339,1.09511008778638
"f.sda.0.1",0.518847986481769,0.236551989317705,1.3574340652295
"f.sda.0.2",0.565733316974485,0.279128916402317,1.45388445505262
"f.sda.0.3",0.582865225604115,0.302226691801773,1.50026341971385
"f.sda.0.4",0.606651121643105,0.327692490143962,1.56089976899643
"f.sda.0.5",0.611392970954109,0.326331270814369,1.56751313904263
"f.sda.0.6",0.618451181720282,0.322421473478706,1.59064952325431
"f.sda.0.7",0.599580279467046,0.332356076169918,1.53485527666642
"f.sda.0.8",0.58498114355207,0.298820344433172,1.49711081670539
"f.sda.0.9",0.539705350011551,0.271095300387392,1.39036736261518
"f.sda.1",0.422605395911994,0.263827741536867,1.20928508535474
"f.gos",0.568597566764052,0.299560776563156,1.47776668893985
