"o","p","region","k","model"
3.25809653802148,2.40938143940246,"3.17653105456858",2,"STK"
2.484906649788,2.41788772174443,"3.17653105456858",2,"STK"
4.27666611901606,2.62082788718516,"2.22740668891514",2,"STK"
2.30258509299405,2.37511895544889,"3.17653105456858",2,"STK"
2.89037175789616,2.51074466510447,"2.22740668891514",2,"STK"
1.09861228866811,2.43299548102194,"2.22740668891514",2,"STK"
3.04452243772342,2.47680476925628,"2.22740668891514",2,"STK"
2.484906649788,2.61909380656758,"2.22740668891514",2,"STK"
2.63905732961526,2.59075549771652,"2.22740668891514",2,"STK"
2.484906649788,2.45975698324423,"2.22740668891514",2,"STK"
3.04452243772342,2.48620238119512,"2.22740668891514",2,"STK"
2.07944154167984,2.52074290652643,"2.22740668891514",2,"STK"
1.6094379124341,2.61446645652347,"3.17653105456858",2,"STK"
1.38629436111989,2.61568280336095,"3.17653105456858",2,"STK"
3.71357206670431,2.80574237800765,"3.17653105456858",2,"STK"
2.56494935746154,2.58035583601419,"2.22740668891514",2,"STK"
3.36729582998647,2.43663860751422,"2.22740668891514",2,"STK"
1.94591014905531,2.7600413414464,"3.17653105456858",2,"STK"
2.07944154167984,2.39798143405149,"2.22740668891514",2,"STK"
1.09861228866811,2.82493048531918,"3.17653105456858",2,"STK"
1.6094379124341,2.89417971152945,"3.17653105456858",2,"STK"
2.07944154167984,2.40976323590893,"2.22740668891514",2,"STK"
2.63905732961526,2.5543547976885,"2.22740668891514",2,"STK"
3.49650756146648,3.18183783171889,"3.17653105456858",2,"STK"
4.40671924726425,3.18181378286908,"3.17653105456858",2,"STK"
4.55387689160054,3.18238237278377,"3.17653105456858",2,"STK"
3.49650756146648,3.18195283473821,"3.17653105456858",2,"STK"
3.43398720448515,3.18208146415811,"3.17653105456858",2,"STK"
2.70805020110221,3.18191667119278,"3.17653105456858",2,"STK"
2.07944154167984,3.18157480346526,"3.17653105456858",2,"STK"
3.76120011569356,3.1816747155277,"3.17653105456858",2,"STK"
1.38629436111989,2.3590789821142,"2.22740668891514",2,"STK"
1.79175946922805,2.53673135753144,"2.22740668891514",2,"STK"
