NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
255,-28.15903,121.07542,28,igneous felsic intrusive,IFI,7.3518,10.9821,483.9678603,0.230093025,23.91802438,0.216519504,0.15444,5.300722943,5.300722943,1.090783657,0.861335837,5.762071172
256,-28.15754,120.42485,16,regolith,RE,6.0930,1.1805,437.3450556,0.133947361,214.720512,0.142018151,0.20694,20.99668912,1.998038847,9.404517481,0.892629513,5.936576624
257,-28.15626,120.56722,80,igneous felsic intrusive,IFI,1.8665,4.8907,471.4028481,0.463971292,136.851512,0.323376746,0.16502,18.57270511,1.291187365,8.541631288,0.840913414,5.660795317
258,-28.15607,120.46479,40,regolith,RE,4.3341,4.0706,445.5047512,0.172457716,211.8179928,0.400100573,0.19062,20.44191597,0.929124786,6.590105062,0.867810538,5.900319339
259,-28.15467,121.00959,79,regolith,RE,8.4294,5.3841,507.8585379,0.719856459,85.82854342,0.019682652,0.17576,2.298561381,0.446220207,1.899609107,0.841316479,5.344606472
260,-28.15271,120.33546,12,high grade metamorphic rock,HGMR,14.0762,8.0399,454.8994823,0.271989716,144.3281276,0.000767855,0.18763,19.85467089,11.74502269,16.80712104,0.875139421,5.813897698
261,-28.15127,120.45028,56,regolith,RE,4.3039,3.5205,445.141505,0.239531958,255.9692569,0.718978041,0.19434,19.63927638,1.304591879,7.206434709,0.893937629,5.906900915
262,-28.15125,120.49023,6,regolith,RE,3.3680,5.0513,457.5558228,0.285001103,275.1563443,0.013448436,0.17975,18.49083363,2.039833466,4.54569805,0.826566759,5.860942672
263,-28.14729,121.01532,61.5,regolith,RE,9.0801,6.4175,507.8585379,0.719856459,85.82854342,0.019682652,0.17576,2.298561381,0.446220207,1.899609107,0.841316479,5.344606472
264,-28.14720,120.24180,8,regolith,RE,24.0480,18.0438,458.2654902,0.283839842,217.4006714,0.180346596,0.182,20.49671354,20.49671354,20.3257076,0.895724803,5.835672994
265,-28.14528,120.69192,64,regolith,RE,1.4251,3.7388,521.7393116,0.365881251,9.442498624,0.199511217,0.1514,19.45467975,7.682467119,8.008344917,0.930961878,5.679976216
266,-28.14376,121.09475,13,regolith,RE,9.3316,12.8946,476.5858801,0.126002108,211.6297062,0.129081181,0.17849,8.126535349,8.126535349,3.812999491,0.791285603,5.610861104
267,-28.14240,121.15621,16,regolith,RE,6.9368,18.5151,479.2066501,0.191631304,332.4769293,2.492409745,0.19142,12.35593468,8.755889773,10.30934534,0.968834055,5.524016797
268,-28.14090,120.58518,72,igneous mafic volcanic,IMV,0.0000,2.8683,479.1811421,0.38801824,176.5117866,0.039054348,0.16648,16.89267419,1.469518755,7.177719795,0.864361345,5.738101883
269,-28.13935,120.30196,8,igneous felsic intrusive,IFI,17.3188,12.0284,475.4740119,0.667845209,130.1307011,0.274991224,0.15794,18.83725783,15.86736597,18.80357709,0.778902315,5.426037766
270,-28.13843,121.03545,72,regolith,RE,9.3376,8.4872,492.9649747,0.332576046,80.17352303,0.111315439,0.162,4.160298109,1.55410391,1.965127636,0.828861899,5.550348819
271,-28.13833,120.42354,12,regolith,RE,4.5993,0.4330,442.0681748,0.151981445,193.9158698,0.441463541,0.2124,19.05397443,3.408477124,7.897545277,0.92421104,5.821775081
272,-28.13823,120.51870,12,regolith,RE,2.9718,7.0604,468.4831163,0.269416999,298.725089,0.351618623,0.17749,16.77802294,1.519617827,4.230514952,0.865092507,5.829639705
273,-28.13653,120.72917,6,regolith,RE,4.0669,7.4224,543.2263772,0.60340166,292.9594132,0.430629275,0.17637,16.66408691,9.90123874,10.09198335,0.810222886,5.370815829
274,-28.13465,120.78934,9,regolith,RE,6.6404,7.3280,535.2566956,0.478028217,83.58957649,0.952471193,0.18932,11.87840564,11.87840564,15.62288622,0.910942034,5.422043999
275,-28.13458,120.48213,26,regolith,RE,1.5728,3.2195,456.5350711,0.181531514,237.7825171,0.033252663,0.16535,16.92982761,0.150258286,2.984661704,0.853581092,5.932996954
276,-28.13299,120.66952,86,regolith,RE,1.5921,2.5748,518.1048699,0.284866412,21.69437329,0.27995693,0.13084,18.2249869,5.830072209,6.202635321,1.003817291,5.839573965
277,-28.13290,120.91565,38,regolith,RE,3.8658,0.5285,516.634976,0.486018733,64.55775107,0.520146071,0.17925,1.309178909,1.309178909,6.018495867,0.89122624,5.487695716
278,-28.13106,121.08162,33,regolith,RE,9.4406,10.8701,474.4075465,0.131370569,214.2912918,0.666970823,0.16939,8.251771625,7.400585464,3.873122211,0.80917606,5.700972413
279,-28.13103,120.24809,8,regolith,RE,23.1274,17.9022,467.4758806,0.273978307,214.8561802,0.128156998,0.17467,18.32190991,18.32190991,18.14713178,0.896949939,5.824452182
280,-28.13075,120.33771,18,regolith,RE,13.2470,8.9154,462.6431759,0.293651374,132.6771001,0.370580303,0.18641,17.85637548,12.32814409,16.10408787,0.862843347,5.763712563
281,-28.12928,120.98367,40,regolith,RE,8.2701,6.4683,518.6833661,0.368505922,195.42011,0.325300442,0.19098,2.924107009,0.523674389,3.246894209,0.833791115,5.29880156
282,-28.12814,120.93513,20,regolith,RE,5.0407,2.5093,507.9686017,0.187681683,20.87086221,2.001193767,0.19661,0.604096243,0.015537884,3.79704417,0.883313679,5.667035409
283,-28.12679,120.87647,22,igneous felsic intrusive,IFI,2.9074,2.8889,513.9920886,0.411345141,326.9974498,0.43809565,0.19844,3.740658732,3.740658732,9.678655976,0.913585912,5.382712815
284,-28.12614,120.37934,22,regolith,RE,8.6058,4.6519,451.0078889,0.19081603,165.657661,2.47456152,0.21114,17.49103229,8.385672565,11.04550498,0.904279944,5.865015308
285,-28.12583,120.82405,8,regolith,RE,3.3880,4.4890,520.6119036,0.233665371,133.6453693,1.268668617,0.19374,8.39073713,8.39073713,15.65040633,0.906647582,5.488763402
286,-28.12551,120.46239,43,regolith,RE,1.1813,0.8428,452.1348362,0.303405664,208.8319977,0.558321569,0.17786,16.44755363,0.084688881,3.925738399,0.865391757,5.769760098
287,-28.12493,121.20709,17,regolith,RE,7.8097,23.0856,487.391418,0.273132824,302.3695006,0.081135397,0.19278,17.19353082,5.76789229,15.65089322,0.897004553,5.538559693
288,-28.12482,120.60240,105,igneous mafic volcanic,IMV,0.0000,0.9127,493.0689159,0.514973105,184.5032916,0.23527974,0.17565,15.44905413,4.295747894,6.788214627,0.877061233,5.493874823
289,-28.12332,120.59447,120,igneous mafic volcanic,IMV,0.0000,0.8182,494.4578462,0.690085376,161.2213785,0.297903953,0.17645,15.19395512,3.638672884,6.071341199,0.876294653,5.491688471
290,-28.11802,120.70793,26,regolith,RE,4.6171,6.7612,521.9721931,0.37149038,296.9291559,0.319750008,0.17701,15.86388851,7.163914621,7.324716304,0.866767532,5.577417895
