"o","p","region","k","model"
2.484906649788,2.31624329210128,"2.35200484291689",2,"STK"
3.40119738166216,2.3003704115821,"2.35200484291689",2,"STK"
2.484906649788,2.29740652288655,"2.35200484291689",2,"STK"
1.38629436111989,2.29764364612369,"2.35200484291689",2,"STK"
1.62334081760309,2.2990932206306,"2.35200484291689",2,"STK"
2.70805020110221,2.31854776774907,"2.35200484291689",2,"STK"
2.01490302054226,2.30464841300186,"2.35200484291689",2,"STK"
2.83321334405622,3.14823760637967,"2.83125509445449",2,"STK"
3.40119738166216,3.03873596087847,"2.83125509445449",2,"STK"
3.68887945411394,2.89616777526965,"2.83125509445449",2,"STK"
2.39789527279837,2.43887219980561,"2.35200484291689",2,"STK"
2.484906649788,2.46288733732244,"2.35200484291689",2,"STK"
2.56494935746154,2.84994985071002,"2.83125509445449",2,"STK"
3.46573590279973,2.37059146815266,"2.35200484291689",2,"STK"
2.94443897916644,2.46936079708014,"2.35200484291689",2,"STK"
2.99573227355399,2.27101180295272,"2.35200484291689",2,"STK"
1.48160454092422,2.10085357466021,"2.35200484291689",2,"STK"
2.07944154167984,2.75383391148352,"2.83125509445449",2,"STK"
2.83321334405622,2.49823054118764,"2.35200484291689",2,"STK"
3.17805383034795,3.01930178499134,"2.83125509445449",2,"STK"
3.2188758248682,3.09143803310462,"2.83125509445449",2,"STK"
3.04452243772342,3.0688837410812,"2.83125509445449",2,"STK"
4.00733318523247,2.4190058856781,"2.35200484291689",2,"STK"
1.09861228866811,2.07737205541057,"2.35200484291689",2,"STK"
1.56861591791385,2.04039532400255,"2.35200484291689",2,"STK"
3.04452243772342,2.48074795893192,"2.35200484291689",2,"STK"
2.16332302566054,2.40228708348222,"2.35200484291689",2,"STK"
1.38629436111989,2.19037772075894,"2.35200484291689",2,"STK"
1.6094379124341,2.18876915387146,"2.35200484291689",2,"STK"
1.09861228866811,2.18895480165621,"2.35200484291689",2,"STK"
1.94591014905531,2.18985023945249,"2.35200484291689",2,"STK"
1.6094379124341,2.19353369026942,"2.35200484291689",2,"STK"
1.94591014905531,2.19546247023255,"2.35200484291689",2,"STK"
1.79175946922805,2.19552449809498,"2.35200484291689",2,"STK"
2.99573227355399,2.38353914291458,"2.35200484291689",2,"STK"
2.56494935746154,2.21127704440088,"2.35200484291689",2,"STK"
2.83321334405622,2.17396076036954,"2.35200484291689",2,"STK"
2.89037175789616,2.46718545220353,"2.35200484291689",2,"STK"
2.99573227355399,2.51181562510739,"2.35200484291689",2,"STK"
3.3322045101752,2.21967175143822,"2.35200484291689",2,"STK"
2.70805020110221,2.79224929281641,"2.83125509445449",2,"STK"
2.89037175789616,2.4414348905639,"2.35200484291689",2,"STK"
2.89037175789616,2.2298268929863,"2.35200484291689",2,"STK"
2.56494935746154,2.48848929157421,"2.35200484291689",2,"STK"
2.56494935746154,2.87743311262588,"2.83125509445449",2,"STK"
2.99573227355399,2.49379596430396,"2.35200484291689",2,"STK"
2.39789527279837,2.40519306048521,"2.35200484291689",2,"STK"
2.94443897916644,2.90018995818582,"2.83125509445449",2,"STK"
2.94443897916644,2.22276971451047,"2.35200484291689",2,"STK"
3.09104245335832,2.48414504063323,"2.35200484291689",2,"STK"
2.39789527279837,2.44928113977051,"2.35200484291689",2,"STK"
2.10413415427021,2.25854423912098,"2.35200484291689",2,"STK"
3.09104245335832,2.10737231591591,"2.35200484291689",2,"STK"
2.14006616349627,3.00299881061051,"2.83125509445449",2,"STK"
2.39789527279837,3.02062848994151,"2.83125509445449",2,"STK"
2.70805020110221,2.95410307079003,"2.83125509445449",2,"STK"
1.22377543162212,2.42053746110796,"2.35200484291689",2,"STK"
0.955511445027436,2.38739366510974,"2.35200484291689",2,"STK"
3.01993696225081,2.04385106833181,"2.35200484291689",2,"STK"
0.693147180559945,2.19800714887877,"2.35200484291689",2,"STK"
0.693147180559945,2.2086801750981,"2.35200484291689",2,"STK"
1.79175946922805,2.21172523130099,"2.35200484291689",2,"STK"
2.30258509299405,2.12528204738735,"2.35200484291689",2,"STK"
2.56494935746154,2.28927907295391,"2.35200484291689",2,"STK"
2.484906649788,2.46245357322781,"2.35200484291689",2,"STK"
3.3322045101752,2.46452526111565,"2.35200484291689",2,"STK"
2.99573227355399,2.96723967372187,"2.83125509445449",2,"STK"
2.30258509299405,2.19868571687672,"2.35200484291689",2,"STK"
2.02814824729229,2.4289561337103,"2.35200484291689",2,"STK"
1.6094379124341,1.98698388374229,"2.35200484291689",2,"STK"
1.09861228866811,1.95795770711778,"2.35200484291689",2,"STK"
0.693147180559945,1.95325375799906,"2.35200484291689",2,"STK"
1.38629436111989,1.95267913554589,"2.35200484291689",2,"STK"
2.23001440015921,2.15596644195708,"2.35200484291689",2,"STK"
2.70805020110221,3.02138310395017,"2.83125509445449",2,"STK"
2.56494935746154,2.95618717238422,"2.83125509445449",2,"STK"
1.90210752639692,2.36012395671592,"2.35200484291689",2,"STK"
3.09104245335832,2.3925550585132,"2.35200484291689",2,"STK"
1.90210752639692,2.24739453805817,"2.35200484291689",2,"STK"
2.77258872223978,2.32598357020461,"2.35200484291689",2,"STK"
2.89037175789616,1.95132402481002,"2.35200484291689",2,"STK"
2.83321334405622,2.42244897952032,"2.35200484291689",2,"STK"
3.25809653802148,2.2771595891301,"2.35200484291689",2,"STK"
1.70474809223843,1.98892737393044,"2.35200484291689",2,"STK"
2.01490302054226,2.06155340034816,"2.35200484291689",2,"STK"
3.17805383034795,2.33641333211934,"2.35200484291689",2,"STK"
2.63905732961526,2.26810851764351,"2.35200484291689",2,"STK"
3.31054301339402,1.97062694652523,"2.35200484291689",2,"STK"
2.89037175789616,2.8597864683849,"2.83125509445449",2,"STK"
2.18605127673809,2.37471183090542,"2.35200484291689",2,"STK"
2.42745407503992,2.01013557553527,"2.35200484291689",2,"STK"
3.25809653802148,3.08618853297905,"2.83125509445449",2,"STK"
2.36743606531366,2.85457335494862,"2.83125509445449",2,"STK"
2.484906649788,2.40144679899448,"2.35200484291689",2,"STK"
2.07944154167984,1.97451615202856,"2.35200484291689",2,"STK"
3.7635229971097,3.0204358288942,"2.83125509445449",2,"STK"
