,NewID,DLAT,DLONG,Pb_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH,y
820,841,-27.54546648,120.6004801,29,sedimentary siliciclastic,SS,0,0.6026,512.1089466,0.489312937,151.4572267,0.112353095,0.14909,7.126629664,5.265720357,3.947126823,0.770163252,5.571182116,3.36729583
821,842,-27.54407649,120.7042502,24,igneous felsic intrusive,IFI,0,9.3125,498.4017519,0.279375423,220.9426654,0.28938848,0.19784,18.4527411,14.84045157,13.76054615,0.800655771,5.918937911,3.17805383
822,843,-27.54316641,120.1027501,24,regolith,RE,1.8478,23.3605,519.4713125,0.225804129,274.5896354,0.362520865,0.20168,42.7365647,15.15574017,42.90682666,0.871498304,5.932709432,3.17805383
823,844,-27.53931649,120.40781,13,regolith,RE,4.223,15.5387,478.4969212,0.186400054,63.79854946,3.565158232,0.20337,12.70916271,12.70916271,14.83275055,0.968400382,5.605717752,2.564949357
824,845,-27.53882647,120.5248601,1,igneous mafic intrusive,IMI,4.9598,4.4385,490.1784493,0.350171121,206.2951286,0.190141498,0.16876,0.228460692,0.228460692,3.719275462,0.814217363,5.81792722,0
825,846,-27.53747647,120.5460501,28,regolith,RE,2.608,2.4367,490.7820792,0.333135203,237.5708559,0.08509986,0.16077,2.114674614,2.114674614,1.842351836,0.847488075,5.687141106,3.33220451
826,847,-27.53729647,120.47092,20,regolith,RE,8.7469,10.0862,474.9902497,0.147197666,230.2056482,0.404052263,0.20197,5.714233017,5.714233017,8.184854704,0.851094778,5.861972233,2.995732274
827,848,-27.53271646,120.5247301,1,igneous mafic intrusive,IMI,4.8924,4.1969,493.6690606,0.339985211,242.0238269,0.785954825,0.16437,0.0729817,0.0729817,3.586200721,0.826099479,5.855451797,0
828,850,-27.5310865,120.6824002,18,regolith,RE,2.2061,7.0558,495.9841982,0.188746433,185.1761362,3.15913038,0.19098,15.15640188,12.98308461,10.20348848,0.839681811,6.071385322,2.890371758
829,851,-27.5303165,120.2845401,16,regolith,RE,3.1982,10.5548,505.0870023,0.290588126,313.1801852,2.66212618,0.16695,26.71162982,25.81128544,28.20569653,0.916509234,5.768179559,2.772588722
830,852,-27.52985646,120.5563101,21.14,igneous mafic volcanic,IMV,1.3775,1.0834,495.7166434,0.507483518,245.7974772,0.004132754,0.16769,1.927548748,1.927548748,0.727831263,0.822257353,5.646986864,3.05116698
831,853,-27.52325648,120.44597,13,regolith,RE,7.6685,12.4512,473.4272463,0.082881809,210.2630437,0.900973536,0.2176,8.841017878,8.841017878,10.65747787,0.871108445,5.833659251,2.564949357
832,854,-27.52256647,120.1789701,23,regolith,RE,1.4596,17.3026,530.6296662,0.262312549,85.76194004,0.314219587,0.18647,38.73795856,19.31958194,39.68961698,0.825210072,5.879314172,3.135494216
833,855,-27.5208764,120.1180801,28,regolith,RE,0.2767,22.9381,531.7744102,0.411368308,251.3428539,0.03539045,0.17574,44.73356253,14.98517555,45.45680732,0.809888462,5.727865214,3.33220451
834,856,-27.51982646,120.5260801,13,igneous mafic intrusive,IMI,4.4394,3.7215,493.8651925,0.333283022,269.891282,0.055514222,0.17622,0.686488674,0.686488674,2.695025007,0.850821172,5.90255906,2.564949357
835,857,-27.51971648,120.6265001,18,regolith,RE,1.7431,1.2905,498.1566257,0.178832633,159.0933715,0.169976174,0.18223,9.080760953,9.080760953,4.506004685,0.840164494,5.861863412,2.890371758
836,858,-27.51927641,120.8428801,18,regolith,RE,4.1101,24.8933,501.5524954,0.204889532,143.8960508,3.91344386,0.21233,33.04330319,7.477047725,10.77011016,0.839160332,5.996559873,2.890371758
837,859,-27.5141065,120.36816,16,regolith,RE,5.6306,14.6008,484.514037,0.225242751,43.20557846,3.079786414,0.18742,17.88893441,17.88893441,18.98615208,0.912261194,5.64130203,2.772588722
838,860,-27.51196649,120.7285802,22,regolith,RE,2.4428,12.4828,514.0740105,0.247931309,227.3273103,0.357622753,0.17449,20.02818136,18.30908965,14.54040146,0.8325161,6.007511071,3.091042453
839,861,-27.51130649,120.2374401,15,regolith,RE,3.816,14.1985,501.8484682,0.271680046,70.41070335,3.193626157,0.19315,31.81023204,24.06909449,32.72518171,0.912327616,5.852237879,2.708050201
840,862,-27.51117646,120.5682101,21.33,sedimentary siliciclastic,SS,0,0.332,511.2210193,0.429855868,253.4546769,0.252591272,0.14933,3.028188912,3.028188912,0.308394395,0.768376951,5.691182473,3.060114532
841,863,-27.51078649,120.6084501,24,regolith,RE,0.3789,0.3835,509.0331639,0.40097436,103.3667146,0.074577764,0.14619,7.028183856,7.028183856,2.402863845,0.79675317,5.654815044,3.17805383
842,864,-27.51059646,120.7714402,26,regolith,RE,0.3792,17.178,521.4011597,0.285331539,123.7321063,0.199699387,0.19408,25.02818109,15.11495264,18.75167209,0.814185327,5.874507869,3.258096538
843,865,-27.50865639,120.0885401,21,regolith,RE,1.5798,26.4591,518.1974648,0.249010611,234.4565864,0.342026539,0.19099,46.76106429,11.54462088,46.96554229,0.854739198,5.919378868,3.044522438
844,866,-27.50863649,120.6581701,19,regolith,RE,0.5102,4.9975,503.1580468,0.169978179,191.9074582,0.54101141,0.19954,13.02818209,12.6461286,7.660869259,0.855771727,5.928035669,2.944438979
845,867,-27.50736646,120.5641201,33,igneous mafic volcanic,IMV,0.0376,0.0376,505.5377227,0.388961809,214.7841995,0.434151538,0.14852,2.028193289,2.028193289,0.594665378,0.802222074,5.732433983,3.496507561
846,868,-27.50554652,120.4211,15,regolith,RE,8.1969,14.7015,474.412575,0.020672562,144.9644475,2.465619833,0.20928,12.21276073,12.21276073,12.91618747,0.804933272,5.834097319,2.708050201
847,869,-27.50165648,120.6978202,24,regolith,RE,4.179,9.4566,510.5776762,0.283671614,209.3076708,2.851351275,0.19471,17.05559607,16.33461375,11.44874479,0.84580626,5.939166137,3.17805383
848,870,-27.50088649,120.6174201,15,igneous felsic intrusive,IFI,0,0.8322,505.5619173,0.278179284,143.7321339,0.006408634,0.15562,8.083233576,8.083233576,2.588631433,0.847611946,5.738958929,2.708050201
849,871,-27.49638651,120.3371501,7,regolith,RE,7.2279,14.9207,484.4703272,0.214980927,34.70898435,2.723808051,0.202,21.193462,21.193462,21.63806409,0.933277916,5.558823264,1.945910149
850,872,-27.49605647,120.5089601,22,regolith,RE,5.7563,4.9041,493.0515228,0.183753193,226.4009312,0.218665087,0.17272,3.358458938,3.358458938,3.302841536,0.832184186,6.108935143,3.091042453
851,874,-27.49328651,120.2779201,8,regolith,RE,5.1965,14.7269,487.7091031,0.188629907,31.04341812,4.73889837,0.17075,28.07604695,21.81608525,28.29677053,0.890027117,5.909573688,2.079441542
852,875,-27.49308638,120.0749801,44,regolith,RE,0.261,28.6254,524.3984756,0.406388399,201.280779,0.313514392,0.17807,48.80096545,9.356469718,49.02188651,0.814871587,5.70733008,3.784189634
