"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,1.09861228866811,2.77295007562687,120.88164,-28.06638,NA,NA,NA,NA
"lm",1,3.98898404656427,3.41909918196125,120.64849,-28.06449,NA,NA,NA,NA
"lm",1,2.56494935746154,3.03657518163415,121.07704,-28.0617,NA,NA,NA,NA
"lm",1,2.30258509299405,3.08008058534614,120.98548,-28.05237,NA,NA,NA,NA
"lm",1,4.70048036579242,3.46135336277156,120.60454,-28.05237,NA,NA,NA,NA
"lm",1,2.77258872223978,2.4199051269341,120.38254,-28.04697,NA,NA,NA,NA
"lm",1,4.27666611901606,3.29146889325732,120.62949,-28.03565,NA,NA,NA,NA
"lm",1,5.95064255258773,3.87290905057386,120.55145,-28.03479,NA,NA,NA,NA
"lm",1,4.74493212836325,3.65166355704881,120.50695,-28.03442,NA,NA,NA,NA
"lm",1,5.63478960316925,3.7515917485948,120.49059,-28.0301,NA,NA,NA,NA
"lm",1,2.07944154167984,3.07242436104733,120.46115,-28.02769,NA,NA,NA,NA
"lm",1,2.07944154167984,3.37209029246656,121.20821,-28.02435,NA,NA,NA,NA
"lm",1,4.97673374242057,3.58454594656125,120.55408,-28.01514,NA,NA,NA,NA
"lm",1,2.07944154167984,2.38601985184748,120.37476,-28.01412,NA,NA,NA,NA
"lm",1,1.79175946922805,1.74358936857926,120.20642,-28.01245,NA,NA,NA,NA
"lm",1,3.78418963391826,2.87165977770868,120.45187,-28.00391,NA,NA,NA,NA
"lm",1,2.30258509299405,3.21575212359525,120.47732,-27.99778,NA,NA,NA,NA
"lm",1,0.693147180559945,2.95600719057662,120.45887,-27.99568,NA,NA,NA,NA
"lm",1,2.52572864430826,2.95892786803729,120.45934,-27.99565,NA,NA,NA,NA
"lm",1,0.693147180559945,3.04578097727657,120.37966,-27.99485,NA,NA,NA,NA
"lm",1,2.484906649788,2.83869095968634,120.38276,-27.99335,NA,NA,NA,NA
"lm",1,4.15966402834274,2.96583586224524,120.45902,-27.99124,NA,NA,NA,NA
"lm",1,3.3322045101752,3.30438254592229,121.04314,-27.99074,NA,NA,NA,NA
"lm",1,2.68784749378469,2.96441412728377,120.45933,-27.99006,NA,NA,NA,NA
"lm",1,3.5945687746427,2.96124124877073,120.45879,-27.99006,NA,NA,NA,NA
"lm",1,3.28952066443753,2.96435853586188,120.45933,-27.99004,NA,NA,NA,NA
"lm",1,1.84054963339749,3.34647451527404,120.4627,-27.98999,NA,NA,NA,NA
"lm",1,3.40119738166216,3.13587365815465,120.60877,-27.98899,NA,NA,NA,NA
"lm",1,1.38629436111989,2.15123584315803,120.2388,-27.98676,NA,NA,NA,NA
"lm",1,2.07944154167984,1.83194062338636,120.19336,-27.98673,NA,NA,NA,NA
"lm",1,2.07944154167984,2.88637781680611,120.4514,-27.97626,NA,NA,NA,NA
"lm",1,4.77912349311153,3.74062251632417,120.56553,-27.97369,NA,NA,NA,NA
"lm",1,4.77912349311153,3.56251666952312,120.5399,-27.97112,NA,NA,NA,NA
"lm",1,6.92657703322272,3.56247545028476,120.54012,-27.97082,NA,NA,NA,NA
"lm",1,4.64439089914137,3.29846961160653,120.52824,-27.97057,NA,NA,NA,NA
"lm",1,2.30258509299405,2.43971722688862,120.73452,-27.96747,NA,NA,NA,NA
"lm",1,3.63758615972639,3.28563582806961,120.63194,-27.9641,NA,NA,NA,NA
"lm",1,3.61091791264422,3.5165089804827,120.65298,-27.96342,NA,NA,NA,NA
"lm",1,4.38202663467388,3.50888902787415,120.57713,-27.95865,NA,NA,NA,NA
"lm",1,1.38629436111989,1.80678636273417,120.21393,-27.9489,NA,NA,NA,NA
"lm",1,4.43081679884331,3.25717323737449,120.64136,-27.94475,NA,NA,NA,NA
"lm",1,2.83321334405622,3.32453464708097,121.14639,-27.94287,NA,NA,NA,NA
"lm",1,2.484906649788,2.29487522939198,120.84431,-27.94135,NA,NA,NA,NA
"lm",1,2.89037175789616,3.07878204185644,120.47825,-27.93786,NA,NA,NA,NA
"lm",1,4.06044301054642,3.24851709577121,120.56333,-27.93783,NA,NA,NA,NA
"lm",1,2.484906649788,2.43999549169225,120.76069,-27.93652,NA,NA,NA,NA
"lm",1,4.14313472639153,3.09525369140784,120.59822,-27.93638,NA,NA,NA,NA
"lm",1,1.79175946922805,2.60698499340165,120.26515,-27.93589,NA,NA,NA,NA
