"k","model","overall_R2","overall_MAE","overall_RMSE","R2_sd","RMSE_sd","min_R2","max_R2"
2,"STK",0.276639254084992,0.529413423787137,0.719120527013143,0.105191773448714,0.213998347604427,0.0655301742427817,0.214293806904032
3,"STK",0.299079924419301,0.526144444524067,0.707878083624506,0.189249028905866,0.185414323543952,0.0655301742427817,0.395618917086278
4,"STK",0.303613578206195,0.52581356390881,0.705585040072319,0.180166944036418,0.153748776061357,0.00852625950857633,0.404024248523311
5,"STK",0.303613578206195,0.52581356390881,0.705585040072319,0.180166944036418,0.153748776061357,0.00852625950857633,0.404024248523311
6,"STK",0.282341406573241,0.533471592957975,0.716280555449051,0.185642534935036,0.218272623141534,-0.127159140822622,0.404024248523311
7,"STK",0.282341406573241,0.533471592957975,0.716280555449051,0.185642534935036,0.218272623141534,-0.127159140822622,0.404024248523311
8,"STK",0.268756650103484,0.5375576435923,0.723028109177191,0.117575758287997,0.24899366268481,-0.127159140822622,0.268329590165587
9,"STK",0.273959569723027,0.534684892525267,0.720451283959396,0.187380216472092,0.232911228166502,-0.293026564840348,0.410750860714335
10,"STK",0.313042215403823,0.514611046839478,0.700792171300402,0.18091859843421,0.225811024196785,-0.293026564840348,0.410750860714335
