"k","model","region","region_R2","region_MAE","region_RMSE","n_points"
2,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
2,"STK","3.17653105456858",0.226033742628653,0.810204280722746,1.00847631122176,129
3,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
3,"STK","3.17653105456858",0.226033742628653,0.810204280722746,1.00847631122176,129
4,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
4,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
4,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
4,"STK","3.30155439163017",0.377101909382461,0.635911787946482,0.820009960619802,27
4,"STK","3.48453253749932",0.141528664213366,0.827763633797185,1.05000955823221,73
5,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
5,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
5,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
5,"STK","3.30155439163017",0.377101909382461,0.635911787946482,0.820009960619802,27
5,"STK","3.48453253749932",0.141528664213366,0.827763633797185,1.05000955823221,73
6,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
6,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
6,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
6,"STK","3.48453253749932",0.141528664213366,0.827763633797185,1.05000955823221,73
6,"STK","2.53963459536308",-0.0229977327184532,0.6568062049733,0.792420042390906,6
6,"STK","3.57304305466788",0.296957024809386,0.678063544967332,0.867495664146378,21
7,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
7,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
7,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
7,"STK","3.48453253749932",0.141528664213366,0.827763633797185,1.05000955823221,73
7,"STK","2.53963459536308",-0.0229977327184532,0.6568062049733,0.792420042390906,6
7,"STK","3.57304305466788",0.296957024809386,0.678063544967332,0.867495664146378,21
8,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
8,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
8,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
8,"STK","2.53963459536308",-0.0229977327184532,0.6568062049733,0.792420042390906,6
8,"STK","3.57304305466788",0.296957024809386,0.678063544967332,0.867495664146378,21
8,"STK","2.70581843478934",-0.776872346565858,0.479815506263872,0.559178363295245,6
8,"STK","3.10845094974559",0.0534404751185509,0.798368925085389,1.02895225984111,28
8,"STK","3.78329034961767",0.0256797421780228,0.787369846944362,1.04150692678434,39
9,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
9,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
9,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
9,"STK","2.53963459536308",-0.0229977327184532,0.6568062049733,0.792420042390906,6
9,"STK","3.57304305466788",0.296957024809386,0.678063544967332,0.867495664146378,21
9,"STK","2.70581843478934",-0.776872346565858,0.479815506263872,0.559178363295245,6
9,"STK","3.10845094974559",0.0534404751185509,0.798368925085389,1.02895225984111,28
9,"STK","3.78329034961767",0.0256797421780228,0.787369846944362,1.04150692678434,39
10,"STK","2.22740668891514",0.0454193910374883,0.534941597593635,0.75729398909075,59
10,"STK","2.35748394674693",-0.0385825541308393,0.551609978073479,0.760939264091747,20
10,"STK","2.54587235547694",-0.285738559754871,0.840798604377546,0.935226541574946,9
10,"STK","2.53963459536308",-0.0229977327184532,0.6568062049733,0.792420042390906,6
10,"STK","3.57304305466788",0.296957024809386,0.678063544967332,0.867495664146378,21
10,"STK","2.70581843478934",-0.776872346565858,0.479815506263872,0.559178363295245,6
10,"STK","3.10845094974559",0.0534404751185509,0.798368925085389,1.02895225984111,28
10,"STK","2.90016575212635",NA,0.383851928257259,0.383851928257259,1
10,"STK","3.84115810404405",0.00799120215714832,0.811625761352674,1.05815147749403,38
