"k","model","region","region_R2","region_MAE","region_RMSE","n_points"
2,"STK","2.35888100961486",0.0475715980130962,0.663172931762866,0.844591747830339,134
2,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
3,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
3,"STK","2.25011347161798",-0.00520096805860693,0.707573627930534,0.83749846192795,114
3,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
4,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
4,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
4,"STK","2.00524833331366",-0.00490801595680757,0.894891102214746,0.99254651323933,43
4,"STK","2.42514670010959",0.0430017716309008,0.517609206063314,0.682009611120152,71
5,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
5,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
5,"STK","2.42514670010959",0.0430017716309008,0.517609206063314,0.682009611120152,71
5,"STK","1.83841117739803",-0.0312471962916172,0.914538816707036,1.04555528768551,31
5,"STK","2.35775909823219",0.00580428619748286,0.812101614768866,0.8604478701306,12
6,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
6,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
6,"STK","1.83841117739803",-0.0312471962916172,0.914538816707036,1.04555528768551,31
6,"STK","2.35775909823219",0.00580428619748286,0.812101614768866,0.8604478701306,12
6,"STK","2.28270729019212",-0.00134882104256961,0.502189816533372,0.621902683419297,48
6,"STK","2.69184176548697",0.0849918345954075,0.501319372822096,0.733369828634495,23
7,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
7,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
7,"STK","1.83841117739803",-0.0312471962916172,0.914538816707036,1.04555528768551,31
7,"STK","2.35775909823219",0.00580428619748286,0.812101614768866,0.8604478701306,12
7,"STK","2.28270729019212",-0.00134882104256961,0.502189816533372,0.621902683419297,48
7,"STK","2.69184176548697",0.0849918345954075,0.501319372822096,0.733369828634495,23
8,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
8,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
8,"STK","1.83841117739803",-0.0312471962916172,0.914538816707036,1.04555528768551,31
8,"STK","2.35775909823219",0.00580428619748286,0.812101614768866,0.8604478701306,12
8,"STK","2.69184176548697",0.0849918345954075,0.501319372822096,0.733369828634495,23
8,"STK","2.1624745694517",-0.0480783068611261,0.543349050036063,0.663370159595977,43
8,"STK","2.36110958037095",-0.164416737431642,0.264410630272122,0.290810557994799,4
8,"STK","3.37769099679736",NA,0.660040519928101,0.660040519928101,1
9,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
9,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
9,"STK","1.83841117739803",-0.0312471962916172,0.914538816707036,1.04555528768551,31
9,"STK","2.69184176548697",0.0849918345954075,0.501319372822096,0.733369828634495,23
9,"STK","2.1624745694517",-0.0480783068611261,0.543349050036063,0.663370159595977,43
9,"STK","2.36110958037095",-0.164416737431642,0.264410630272122,0.290810557994799,4
9,"STK","3.37769099679736",NA,0.660040519928101,0.660040519928101,1
9,"STK","2.17350403062971",-0.0116971379429067,0.781902375492411,0.834354302435589,10
9,"STK","3.12548854657586",-0.345280218583024,0.083527042331583,0.0968798553188301,2
10,"STK","2.8489897629401",0.193868577273728,0.385331658156373,0.515292497000697,54
10,"STK","2.96562040832033",-0.0621386628145963,0.489531240711299,0.971515491542934,20
10,"STK","2.69184176548697",0.0849918345954075,0.501319372822096,0.733369828634495,23
10,"STK","2.1624745694517",-0.0480783068611261,0.543349050036063,0.663370159595977,43
10,"STK","2.36110958037095",-0.164416737431642,0.264410630272122,0.290810557994799,4
10,"STK","3.37769099679736",NA,0.660040519928101,0.660040519928101,1
10,"STK","2.17350403062971",-0.0116971379429067,0.781902375492411,0.834354302435589,10
10,"STK","3.12548854657586",-0.345280218583024,0.083527042331583,0.0968798553188301,2
10,"STK","1.33560219061884",-1.63589131728293,0.189320957146593,0.233532082866546,2
10,"STK","1.96894812588878",-0.017085674927013,0.939225248177259,1.04988447478972,29
