"k","model","overall_R2","overall_MAE","overall_RMSE","R2_sd","RMSE_sd","min_R2","max_R2"
2,"STK",0.127529834167319,0.583367459556746,0.764662847588128,0.1034475861023,0.23284973330129,0.0475715980130962,0.193868577273728
3,"STK",0.101735225913164,0.591818765631654,0.775884152883126,0.134418681700492,0.23449117567285,-0.0621386628145963,0.193868577273728
4,"STK",0.138037927907634,0.562920773299998,0.76004407093571,0.109710923066293,0.23173162263634,-0.0621386628145963,0.193868577273728
5,"STK",0.134769346876277,0.560876120639947,0.761483760145657,0.0998098696530058,0.216350048032695,-0.0621386628145963,0.193868577273728
6,"STK",0.151357485049847,0.554946350097472,0.754148878856187,0.0934553494098593,0.205005505571165,-0.0621386628145963,0.193868577273728
7,"STK",0.151357485049847,0.554946350097472,0.754148878856187,0.0934553494098593,0.205005505571165,-0.0621386628145963,0.193868577273728
8,"STK",0.142373719121446,0.560140929879203,0.758130096388705,0.114717051087484,0.24553540687251,-0.164416737431642,0.193868577273728
9,"STK",0.157487260263944,0.550783794040697,0.751420320656576,0.160318470551438,0.306999694231001,-0.345280218583024,0.193868577273728
10,"STK",0.171886622333257,0.546876723793439,0.744971395284579,0.550773104746615,0.318103999577177,-1.63589131728293,0.193868577273728
